Codelist Name	CDISC Submission Value	CDISC Synonym(s)
Non-Neoplastic Finding Type	"CELLULARITY, DECREASED"	"ADIPOCYTES, DECREASED; CELLULARITY DECREASED, LYMPHOCYTES, MARGINAL ZONE; CELLULARITY, DECREASED, ERYTHROID; CELLULARITY, DECREASED, HEMATOPOIETIC; CELLULARITY, DECREASED, PALS; DECREASE, LYMPHOCYTES; DECREASE, LYMPHOCYTES, CORTEX; DECREASE, LYMPHOCYTES, MARGINAL ZONE; DECREASE, LYMPHOCYTES, PARACORTICAL; DECREASED ADIPOSE TISSUE; DECREASED BASOPHILIC CL; DECREASED CELLS; DECREASED CELLS, LYMPHOCYTES; DECREASED CELLULARITY; DECREASED CELLULARITY, BONE MARROW; DECREASED CELLULARITY, CORTICAL; DECREASED CELLULARITY, ERYTHROID/MEGAKARYOCYTIC; DECREASED CELLULARITY, HEMATOPOIETIC ELEMENTS; DECREASED CELLULARITY, LYMPHOCYTES; DECREASED CELLULARITY, LYMPHOID; DECREASED CELLULARITY, PERIARTERIOLAR LYMPHOID SHEATH (PALS)/MARGINAL ZONE; DECREASED DIAMETER, FOLLICLES; DECREASED ERYTHROID PRECURSORS; DECREASED ERYTHROPOIESIS; DECREASED GERMINAL CELLS, SEMINIFEROUS EPITHELIUM; DECREASED GOBLET CELLS; DECREASED HEMATOPOIESIS; DECREASED LYMPHOCYTES; DECREASED LYMPHOCYTES, BALT; DECREASED LYMPHOCYTES, GALT (GUT-ASSOCIATED LYMPHOID TISSUE); DECREASED LYMPHOCYTES, GENERALIZED; DECREASED LYMPHOCYTES, GERMINAL CENTER; DECREASED LYMPHOCYTES, GERMINAL CENTERS; DECREASED LYMPHOCYTES, RED PULP; DECREASED LYMPHOCYTES, WHITE PULP; DECREASED LYMPHOCYTES GALT; DECREASED NUMBER; DECREASED NUMBERS; DECREASED PANETH CELLS; DECREASED PARIETAL CELLS; DECREASED RED PULP; DECREASED THICKNESS; DECREASED THICKNESS, CORNEAL EPITHELIUM, BILATERAL; DECREASED, GOBLET CELL; DECREASED, GOBLET CELLS; DECREASED, HEMATOPOIETIC CELLULARITY; DECREASED, LYMPHOCYTES; DECREASED, LYMPHOCYTES (GALT); DECREASED, LYMPHOCYTES, CORTEX; DECREASED, LYMPHOCYTES, GALT; DECREASED, LYMPHOCYTES,GALT; DEPLETION, CORTICAL LYMPHOCYTES; DEPLETION, HEMATOPOIETIC CELL; DEPLETION, LYMPHOCYTES; DEPLETION, LYMPHOCYTES, CORTEX; DEPLETION, LYMPHOCYTES, GALT; DEPLETION, LYMPHOCYTES, GERMINAL CENTERS; DEPLETION, LYMPHOCYTES, MARGINAL ZONE; DEPLETION, LYMPHOCYTES, WHITE PULP; DEPLETION, LYMPHOID, CORTEX; DEPLETION, LYMPHOID, GENERALIZED; DEPLETION, LYMPHOID, GERMINAL CENTER; DROP-OUT; EPITHELILUM, DECREASED THICKNESS; ERYTHROID CELLS, DECREASED; EXOCRINE CELLS, DECREASED; GERM CELLS, DECREASED; GERMINAL CENTERS, DECREASED; GOBLET CELLS, DECREASED; HEMATOPOIETIC CELLS, DECREASED; HEMATOPOIETIC CELLULARITY, DECREASED; HEPATOCELLULAR LOSS; HEPATOCYTE DEPLETION, FOCAL; HEPATOCYTE LOSS; HYDRANENCEPHALY; HYPOCELLULAR; HYPOCELLULAR, ERYTHROID; HYPOCELLULAR, MEGAKARYOCYTES; HYPOCELLULARITY; HYPOCELLULARITY, HEMATOPOIETIC; ISLETS, DECREASED SIZE/NUMBER; LOSS OF CRYPTS; LOSS OF CRYPTS, PYLORUS; LOSS OF EPITHELIAL CELLS; LYMPHOCYTE DEPLETION; LYMPHOCYTE, DECREASED, CORTEX; LYMPHOCYTES DECREASED; LYMPHOCYTES, DECREASED; LYMPHOCYTES, DECREASED, CORTEX; LYMPHOCYTES, DECREASED, FOLLICLES; LYMPHOCYTES, DECREASED, GALT; LYMPHOCYTES, DECREASED, GALT (GUT-ASSOCIATED LYMPHOID TISSUE); LYMPHOCYTES, DECREASED, GERMINAL FOLLICLES; LYMPHOCYTES, DECREASED, MARGINAL ZONE; LYMPHOCYTES, DECREASED, PALS; LYMPHOCYTES, DECREASED, PERIARTERIOLAR LYMPHOID SHEATH; LYMPHOCYTES, DECREASED, WHITE PULP; LYMPHOCYTES, GERMINAL CENTER, DECREASED; LYMPHOCYTOLYSIS, INCREASED; LYMPHOID DEPLETION; LYMPHOID DEPLETION, GALT; LYMPHOID DEPLETION, GALT (GUT-ASSOCIATED LYMPHOID TISSUE); MARROW, HYPOCELLULAR; MEGAKARYOCYTES, DECREASED; OLIGO/ASPERMIA/CELLULAR DEBRIS; OLIGOSPERMIA; OLIGOSPERMIA/GERM CELL DEBRIS, UNILATERAL; SERTOLI CELLS ONLY PRESENT; THIN"
Non-Neoplastic Finding Type	"CELLULARITY, INCREASED"	"ADIPOSE AGGREGATE, INTERSTITIAL; ADIPOSE TISSUE, INCREASED; ALVEOLAR MACROPHAGE AGGREGATES, INCREASED; ALVEOLAR MACROPHAGE AGGREGATION; ALVEOLAR MACROPHAGES; ALVEOLAR MACROPHAGES, INCREASED; CELLULARITY INCREASE; CELLULARITY INCREASED; CELLULARITY INCREASED, LYMPHOCYTES; CELLULARITY INCREASED, MYELOID; CHROMOPHOBE CELLS, INCREASED; CONNECTIVE TISSUE INCREASED; CORNEA, STROMAL THICKENING; ERYTHROID CELLS, INCREASED; ERYTHROPHAGOCYTOSIS, INCREASED, SINUS; GERMINAL CENTER, LYMPOHOCYTES; GERMINAL CENTERS, INCREASED; GLOMERULAR HYPERCELLULARITY, MESANGIUM; GOBLET CELLS AND MACROPHAGES, INCREASED; GOBLET CELLS, INCREASED; GRANULOCYTE, INCREASED; GRANULOPOIESIS, INCREASED; HEMATOPOIETIC CELLS, INCREASED; HEPATOCYTES, MULTINUCLEATED, INCREASED; HISTIOCYTES; HISTIOCYTES, SINUS; HISTIOCYTOSIS; HISTIOCYTOSIS, ALVEOLAR; HISTIOCYTOSIS, ALVEOLAR, FOCAL/MULTIFOCAL; HISTIOCYTOSIS, SINUS; HISTOCYTOSIS; HYPERCELLULAR; HYPERCELLULAR, ERYTHROID; HYPERCELLULAR, HEMATOPOIETIC ELEMENTS; HYPERCELLULAR, MYELOID; HYPERCELLULARITY; INCREASE, DUCTS; INCREASE, MACROPHAGES, ALVEOLUS; INCREASE, PLASMA CELL; INCREASE, VACUOLATED MACROPHAGES; INCREASED ALVEOLAR DEVELOPMENT; INCREASED BILE DUCTS; INCREASED C-CELLS; INCREASED CELLULARITY; INCREASED CELLULARITY, INTERSTITIAL; INCREASED CELLULARITY, LYMPHOCYTES; INCREASED CELLULARITY, LYMPHOCYTES, MEDULLA; INCREASED CELLULARITY, MYELOID; INCREASED CELLULARITY, PLASMA CELLS; INCREASED CELLULARITY, SINUSOIDS; INCREASED FAT; INCREASED GERMINAL CENTERS; INCREASED GOBLET CELLS; INCREASED GRANULOPOIESIS; INCREASED HEMATOPOIESIS; INCREASED HISTIOCYTES; INCREASED INFILTRATE, MACROPHAGES, ALVEOLUS; INCREASED INFLAMMATORY CELLS/EDEMA, LAMINA PROPRIA; INCREASED LARGE LYMPHOCYTES; INCREASED LYMPHOCYTES; INCREASED MACROPHAGES; INCREASED MACROPHAGES, LAMINA PROPRIA; INCREASED MAST CELLS; INCREASED MEGAKARYOCYTES; INCREASED MYELOPOIESIS; INCREASED NEUTROPHILS; INCREASED SMALL FOLLICLES; INCREASED THICKNESS, CORTEX; INCREASED TINGIBLE BODY MACROPHAGES; INCREASED VACUOLATED MACROPHAGES; INCREASED, LARGE CELLS WITH BASOPHILIC GRANULES (LGL); INCREASED, TINGIBLE BODY MACROPHAGES; INFILTRATE, ALVEOLAR MACROPHAGES; INFILTRATE, ALVEOLUS,  MACROPHAGES, VACUOLATED; INFILTRATE, FOAMY MACROPHAGES, ALVEOLUS; INFILTRATE, LYMPHOCYTES/MACROPHAGES, ALVEOLUS; INFILTRATE, MACROPHAGES, ALVEOLAR; INFILTRATE, MACROPHAGES, ALVEOLUS; INFILTRATE, MACROPHAGES, ALVEOLUS, FOAMY; INFILTRATE, MACROPHAGES, ALVEOLUS, INCREASED; INFILTRATE, MACROPHAGES, NEUTROPHILS, ALVEOLUS; INFILTRATE, MACROPHAGES, PIGMENTED, ALVEOLUS; INFILTRATE, MACROPHAGES, VACUOLATED, ALVEOLUS; INFILTRATE, MACROPHAGES/LYMPHOCYTES, ALVEOLUS; INFILTRATE, MACROPHAGES/NEUTROPHILS, ALVEOLUS/INTERSTITIUM; LEUKOCYTOSIS; LEUKOCYTOSIS, PHYSIOLOGIC; LYMPHOCYTE/PLASMA CELL, INCREASED; LYMPHOCYTES, INCREASED; LYMPHOCYTES, INCREASED, FOLLICLES; LYMPHOCYTES, INCREASED, MEDULLA; LYMPHOCYTES/MACROPHAGES, LAMINA PROPRIA, INCREASED; LYMPHOCYTES/PLASMA CELLS, INCREASED; LYMPHOID AGGREGATES; MACROPHAGE AGGREGATION; MACROPHAGES, ALVEOLAR; MACROPHAGES, GERMINAL CENTERS, INCREASED; MACROPHAGES, INCREASED; MACROPHAGES, PERIVASCULAR; MACROPHAGES, SINUS, INCREASED; MEGAKARYOCYTOSIS; MEGALOCYTOSIS; MYELOID CELLS, INCREASED; MYELOID PRECURSORS, INCREASED; MYELOPOIESIS; NEUTROPHILS, SINUS; PERIVENULAR GRANULOCYTES INCREASED; PLASMA CELLS, INCREASED; PLASMACYTOSIS; PLASMACYTOSIS, MEDULLARY; PLASMACYTOSIS, MUCOSAL; RED PULP, INCREASED; SINUS ERYTHROCYTES; SINUS ERYTHROCYTES, ADJACENT LYMPH NODE; SINUS ERYTHROCYTOSIS; SINUS HISTIOCYTOSIS; THICKENED ALVEOLAR SEPTA; THICKENED PRIMARY SPONGIOSA; THICKENED, BASEMENT MEMBRANE, TUBULE CELL; THICKENING; TINGIBLE BODY MACROPHAGES, INCREASED; TINGIBLE BODY MACROPHAGES, INCREASED, PALS; TINGIBLE-BODY MACROPHAGES; TINGIBLE-BODY MACROPHAGES, INCREASED; FOAMY MACROPHAGE AGGREGATION"
Non-Neoplastic Finding Type	CHOLANGIOPATHY	CHOLEOPATHY; CHOLEPATHY
Non-Neoplastic Finding Type	CHOLESTASIS	"STASIS, BILE"
Non-Neoplastic Finding Type	"CHROMATIN, INCREASED"	"MEGAKARYOCYTE, NUCLEAR HYPERCHROMASIA"
Non-Neoplastic Finding Type	CHRONIC PROGRESSIVE NEPHROPATHY	"NEPHROPATHY, CHRONIC PROGRESSIVE"
Non-Neoplastic Finding Type	"COLLOID, DECREASED"	"DECREASED COLLOID; DECREASED, COLLOID"
Non-Neoplastic Finding Type	"COLLOID, INCREASED"	INCREASED COLLOID
Non-Neoplastic Finding Type	COMPRESSION	"COMPRESSION, VENTRAL"
Non-Neoplastic Finding Type	CONGESTION	"CHRONIC PASSIVE CONGESTION; CONGESTION, ENDOMETRIUM; CONGESTION, FOCAL; CONGESTION, MARGINAL ZONE; CONGESTION, MUCOSA; CONGESTION, VASCULAR; CONGESTION/ HEMORRHAGE; CONGESTION/HEMORRHAGE; CONGESTION/HEMORRHAGE WITH EDEMA; CONGESTION/HEMORRHAGE, MUCOSA; CONGESTION/HEMORRHAGE, MYOCARDIUM; CONGESTION/HEMORRHAGE, TRANSMURAL; DISRUPTION/CONGESTION; HEMORRHAGE/CONGESTION; HEMORRHAGE/CONGESTION, MUCOSA"
Non-Neoplastic Finding Type	"CORPORA LUTEA, DECREASED NUMBER"	"BASOPHILIC CORPORA LUTEA, ABSENT/DECREASED; BASOPHILIC CORPORA LUTEA, DECREASED; CORPORA LUTEA (BASOPHILIC), DECREASED; CORPORA LUTEA, BASOPHILIC DECREASED; CORPORA LUTEA, BASOPHILIC, DECREASED; CORPORA LUTEA, DECREASED; CORPORA LUTEA, DECREASED/ABSENT, NEW; CORPORA LUTEA, SMALL TO ABSENT; CORPUS LUTEUM ABSENT; CORPUS LUTEUM DECREASED; DECREASED CORPORA LUTEA; DECREASED NUMBER, CORPORA LUTEA; NO CORPUS LUTEA; ACTIVE CORPUS LUTEUM; CORPORA LUTEA, MEDIUM TO LARGE"
Non-Neoplastic Finding Type	"CORTICOMEDULLARY RATIO, DECREASED"	DECREASED CORTEX:MEDULLA RATIO
Non-Neoplastic Finding Type	CRIBRIFORM CHANGE	CRIBIFORM CHANGE
Non-Neoplastic Finding Type	CRUST	"CRUST, SEROCELLULAR; CRUST, SEROCELLULAR, EPIDERMIS; CRUST-SCAB; EPIDERMIS, CRUST, SEROCELLULAR; SEROCELLULAR CRUST; SURFACE CRUST"
Non-Neoplastic Finding Type	CRYSTALS	"BIREFRINGENT CRYSTALS, INTRATUBULAR; CRYSTAL(S); CRYSTALLINE EOSINOPHILIC MATERIAL; CRYSTALLINE MATERIAL, ACICULAR, CONCENTRIC, TUBULAR; CRYSTALLINE MATERIAL, ACICULAR, INTRAEPITHELIAL; CRYSTALLINE MATERIAL, TUBULE; CRYSTALS, EOSINOPHILIC; CRYSTALS, HEMOGLOBIN; EOSINOPHILIC CRYSTALS"
Non-Neoplastic Finding Type	CYST	"CYST(S); CYST, BILIARY; CYST, BILIARY, MULTILOCULAR; CYST, BLOOD FILLED; CYST, BURSA; CYST, CAPSULE; CYST, CILIARY BODY; CYST, CONGENITAL; CYST, CORPUS LUTEUM; CYST, CRANIOPHARYNGEAL; CYST, ENDOCARDIUM; CYST, ENDOMETRIAL; CYST, EPIDERMAL INCLUSION; CYST, EPIDERMOID; CYST, EPITHELIAL; CYST, FOLLICLE; CYST, FOLLICULAR; CYST, GLAND; CYST, INTRAEPITHELIAL; CYST, IRIS; CYST, LUTEAL; CYST, LYMPHATIC; CYST, MESONEPHRIC DUCT; CYST, MULTIPLE; CYST, OTHER; CYST, PAROVARIAN; CYST, RETE OVARII; CYST, RETE TUBULES; CYST, RETINA; CYST, THYROGLOSSAL; CYST, TUBULE; CYST, VACUOLATED; CYST, VALVE; CYST/PSEUDOCYST; CYSTIC GLAND; CYSTS, BILIARY; CYSTS/TUBULES; EPITHELIAL CYST; FORMATION OF CAPSULE; GALACTOCELE; GALACTOCELE(S); HEMATOCYST; HEMATOCYST(S); HEMATOCYST, CORPORA LUTEA; HEMATOCYST, VALVE; MUCOCOELE; MUCOSAL MICROCYSTS"
Non-Neoplastic Finding Type	CYSTIC DEGENERATION	"DEGENERATION, CYSTIC"
Non-Neoplastic Finding Type	CYTOPLASMIC ALTERATION	"ALTERATION, CYTOPLASM; ALTERATION, CYTOPLASMIC, INCREASED, HEPATOCYTE; ALTERATION, LYMPHOCYTE; ALTERATION, LYMPHOCYTES; ALTERATION, ORGANELLAR (EM); ALTERATION, SERTOLIFORM; CELLULAR ATYPIA, LYMPHOCYTES; CHANGE, SERTOLIFORM; CYTOPLASM, ALTERATION; CYTOPLASMIC ALTERATION,  HEPATOCYTES; CYTOPLASMIC ALTERATION, HEPATOCELLULAR; CYTOPLASMIC ALTERATION, HEPATOCYTE; CYTOPLASMIC ALTERATION, HEPATOCYTES, CENTRILOBULAR; CYTOPLASMIC ALTERATION, INCREASED; CYTOPLASMIC ALTERATION, MYOFIBER; CYTOPLASMIC FLOCCULANT MATERIAL, MACROPHAGES; DECREASE SIZE AND/OR NUMBER CYTOPLASMIC VACUOLES, ZONA FASCICULATA; LYMPHOCYTE ALTERATION"
Non-Neoplastic Finding Type	DEGENERATION	"AXONAL DEGENERATION; CARTILAGE, DEGENERATION; CHANGES, DEGENERATIVE; DEGENERATION CARTILAGE, INTERVERTEBRAL DISC; DEGENERATION WITH PLEOMORPHISM/DYSPLASIA; DEGENERATION, ADIPOCYTES; DEGENERATION, ARTERIOLE; DEGENERATION, ARTERY; DEGENERATION, ARTICULAR CARTILAGE; DEGENERATION, AXON; DEGENERATION, AXONAL; DEGENERATION, AXONAL/MYELIN; DEGENERATION, CARDIOMYOCYTE; DEGENERATION, CARTILAGE; DEGENERATION, CARTILAGE, ARTICULAR PROCESSES; DEGENERATION, CARTILAGE, COSTAL CARTILAGE; DEGENERATION, CARTILAGE, GROWTH PLATE; DEGENERATION, CARTILAGE, GROWTH PLATE/PHYSIS; DEGENERATION, CARTILAGE, INTERSTERNEBRAL; DEGENERATION, COLLAGEN; DEGENERATION, COLLAGEN AND MINERALIZATION; DEGENERATION, CONNECTIVE TISSUE; DEGENERATION, CORPUS LUTEUM; DEGENERATION, DISTAL CONVOLUTED TUBULE; DEGENERATION, EPITHELIAL; DEGENERATION, EPITHELIUM; DEGENERATION, EPITHELIUM TUBULES; DEGENERATION, EXOCRINE CELLS; DEGENERATION, FAT; DEGENERATION, FOCAL; DEGENERATION, FOLLICLES; DEGENERATION, GASTRIC GLANDS (PYLORUS); DEGENERATION, GERM CELL; DEGENERATION, GERM CELLS; DEGENERATION, GLOMERULAR; DEGENERATION, HEPATOCELLULAR; DEGENERATION, HEPATOCYTES; DEGENERATION, ISLET CELLS; DEGENERATION, LENS; DEGENERATION, LENS FIBER; DEGENERATION, LENS, UNILATERAL; DEGENERATION, LOBULAR; DEGENERATION, MUSCLE; DEGENERATION, MUSCLE, SUBCUTIS; DEGENERATION, MUSCULARIS; DEGENERATION, MYELIN; DEGENERATION, MYOCARDIUM; DEGENERATION, MYOCYTE; DEGENERATION, MYOCYTES; DEGENERATION, MYOFIBER; DEGENERATION, MYOFIBER, SUBCUTIS; DEGENERATION, MYOFIBERS; DEGENERATION, NEURONAL; DEGENERATION, OCULAR MUSCLE; DEGENERATION, OPTIC TRACT; DEGENERATION, OUTER RETINA; DEGENERATION, PANETH CELLS; DEGENERATION, PANNICULUS MUSCLE; DEGENERATION, PERI-ISLET; DEGENERATION, PHOTORECEPTOR OUTER SEGMENTS; DEGENERATION, PHYSIS; DEGENERATION, PORTAL VESSEL; DEGENERATION, RETINA; DEGENERATION, SEMINIFEROUS EPITHELIUM, SEGMENTAL; DEGENERATION, SEMINIFEROUS TUBULE; DEGENERATION, SEMINIFEROUS TUBULE, BILATERAL; DEGENERATION, SEMINIFEROUS TUBULE, REGIONAL; DEGENERATION, SEMINIFEROUS TUBULES; DEGENERATION, SERTOLI CELL; DEGENERATION, SERTOLI CELLS; DEGENERATION, SKELETAL MUSCLE; DEGENERATION, SMOOTH MUSCLE; DEGENERATION, SMOOTH MUSCLE, FOCAL/MULTIFOCAL; DEGENERATION, SMOOTH MUSCLE, MULTIFOCAL; DEGENERATION, SPERMATOCYTES; DEGENERATION, TRABECULAE, METAPHYSEAL; DEGENERATION, TRABECULAE,METAPHYSEAL; DEGENERATION, TRANSITIONAL CELLS; DEGENERATION, TUBULAR; DEGENERATION, TUBULE; DEGENERATION, TUBULE CELL; DEGENERATION, TUNICA MEDIA, ARTERY; DEGENERATION, VESSEL; DEGENERATION, VESSEL, SUBMUCOSA; DEGENERATION, WHITE MATTER, CHRONIC; DEGENERATION, X-ZONE; DEGENERATION, ZONA FASCICULATA; DEGENERATION,EXTRAOCULAR MUSCLE; DEGENERATION/ FIBROSIS, MYOCARDIUM; DEGENERATION/ INFLAMMATION, AORTIC ROOT; DEGENERATION/ INFLAMMATION, MYOCARDIUM; DEGENERATION/ INFLAMMATION, VASCULAR; DEGENERATION/DILATATION, AXON; DEGENERATION/EDEMA, TUNICA ADVENTITIA; DEGENERATION/EXFOLIATION; DEGENERATION/INFILTRATION, MYOCARDIUM; DEGENERATION/INFLAMMATION; DEGENERATION/INFLAMMATION, AORTIC ARCH; DEGENERATION/LOSS, AMELOBLASTS, FOCAL/MULTIFOCAL; DEGENERATION/MICROVESICLES, SUPRACORNEAL, EPITHELIUM; DEGENERATION: MYOFIBER; DEGENERATION-MYOFIBER; DYSTROPHY, CORNEA; FIBRINOID DEGENERATION, BLOOD VESSEL; FOLLICLES, DEGENERATION; HYPOCELLULAR\DEGENERATION; INTERVERTEBRAL DISK, DEGENERATION; LYMPHOCYTOLYSIS; MUCINOUS DEGENERATION, FAT; MULTINUCLEATED SPERMATIDS; MULTINUCLEATED SPERMATOCYTES; MULTINUCLEATION; MUSCLE WALL, DEGENERATION; MYODEGENERATION; MYOFIBER DEGENERATION; NEURODEGENERATION; SPERMATID GIANT CELLS; SPERMATOGENESIS; SYNCYTIAL CELL, INCREASED; TUBULAR DEGENERATION/SYNCYTIAL CELLS; VERTEBRAL BODY, DEGENERATION/HYPEROSTOSIS; VESSEL WALL, DEGENERATION"
Non-Neoplastic Finding Type	"DEGENERATION, LENS FIBER"	CATARACT; LENS FIBER DEGENERATION (CATARACT)
Non-Neoplastic Finding Type	DEGENERATION/ATROPHY	"ATROPHY/DEGENERATION; ATROPHY/DEGENERATION, SEMINIFEROUS TUBULES; ATROPHY/DEGENERATION, TUBULAR; CRYPT DEGENERATION/ VILLOUS ATROPHY; CRYPT DEGENERATION/VILLOUS ATROPHY; DEGENERATION/ATROPHY, ACINAR CELLS; DEGENERATION/ATROPHY, BILATERAL; DEGENERATION/ATROPHY, HAIR BULB; DEGENERATION/ATROPHY, MUSCLE; DEGENERATION/ATROPHY, RETINA, UNILATERAL; DEGENERATION/ATROPHY, SEMINIFEROUS  TUBULE; DEGENERATION/ATROPHY, SEMINIFEROUS EPITHELIUM; DEGENERATION/ATROPHY, SEMINIFEROUS TUBULE; DEGENERATION/ATROPHY, SEMINIFEROUS TUBULES; DEGENERATION/ATROPHY, SEMINIFEROUS TUBULES, BILATERAL; DEGENERATION/ATROPHY, SEMINIFEROUS TUBULES, UNILATERAL; DEGENERATION/ATROPHY, SKELETAL MUSCLE; DEGENERATION/ATROPHY, TUBULAR; GLAND DEGENERATION/MUCOSAL ATROPHY"
Non-Neoplastic Finding Type	DEGENERATION/NECROSIS	"CRYPT DEGENERATION/NECROSIS; DEGENERATION / NECROSIS; DEGENERATION/ NECROSIS; DEGENERATION/ NECROSIS/ DEPLETION, METAPHYSIS; DEGENERATION/NECROSIS , INDIVIDUAL HEPATOCYTES; DEGENERATION/NECROSIS HEPATOCYTES; DEGENERATION/NECROSIS INDIVIDUAL HEPATOCYTES; DEGENERATION/NECROSIS WITH CELLULAR DYSPLASIA; DEGENERATION/NECROSIS WITH NEUTROPHILS AND MONONUCLEAR CELLS; DEGENERATION/NECROSIS,  HEPATOCELLULAR; DEGENERATION/NECROSIS, CRYPT, EPITHELIUM; DEGENERATION/NECROSIS, ABDOMINAL MUSCLE; DEGENERATION/NECROSIS, ACINAR CELL; DEGENERATION/NECROSIS, ACUTE; DEGENERATION/NECROSIS, BICEPS; DEGENERATION/NECROSIS, BRUNNER'S GLAND; DEGENERATION/NECROSIS, CARDIOMYOCYTE; DEGENERATION/NECROSIS, CENTRILOBULAR; DEGENERATION/NECROSIS, CORTEX; DEGENERATION/NECROSIS, DERMIS; DEGENERATION/NECROSIS, DERMIS AND SUBCUTIS; DEGENERATION/NECROSIS, DERMIS, SUBCUTIS, AND MUSCLE; DEGENERATION/NECROSIS, DIGITAL EXTENSOR; DEGENERATION/NECROSIS, ENDOMETRIAL GLAND; DEGENERATION/NECROSIS, ENDOMETRIUM; DEGENERATION/NECROSIS, EPIDERMIS; DEGENERATION/NECROSIS, EPIDERMIS AND DERMIS; DEGENERATION/NECROSIS, EPITHELIUM; DEGENERATION/NECROSIS, EPITHELIUM, BRUNNER'S GLAND; DEGENERATION/NECROSIS, EPITHELIUM, CRYPT; DEGENERATION/NECROSIS, EPITHELIUM, CRYPTS; DEGENERATION/NECROSIS, EPITHELIUM, OVIDUCT; DEGENERATION/NECROSIS, FOCAL, PERIPORTAL; DEGENERATION/NECROSIS, GASTRIC GLANDS; DEGENERATION/NECROSIS, GERM CELL; DEGENERATION/NECROSIS, HAIR FOLLICLE; DEGENERATION/NECROSIS, HASSAL'S CORPUSCLES; DEGENERATION/NECROSIS, HEPATOCYTES; DEGENERATION/NECROSIS, INDIVIDUAL CELL, EPITHELIUM; DEGENERATION/NECROSIS, INDIVIDUAL CELL, EPITHELIUM, CRYPT; DEGENERATION/NECROSIS, INDIVIDUAL HEPATOCYTE; DEGENERATION/NECROSIS, INDIVIDUAL HEPATOCYTES; DEGENERATION/NECROSIS, INDIVIDUAL MYOCYTE; DEGENERATION/NECROSIS, MUCOSA; DEGENERATION/NECROSIS, MUSCLE; DEGENERATION/NECROSIS, MUSCULARIS; DEGENERATION/NECROSIS, MYOCARDIUM; DEGENERATION/NECROSIS, MYOCARDIUM, FOCAL/MULTIFOCAL; DEGENERATION/NECROSIS, MYOCARDIUM, NEAR EPICARDIAL SURFACE; DEGENERATION/NECROSIS, MYOCARDIUM, PAPILLARY; DEGENERATION/NECROSIS, MYOCYTE; DEGENERATION/NECROSIS, MYOFIBER; DEGENERATION/NECROSIS, MYOFIBERS; DEGENERATION/NECROSIS, PANNICULUS MUSCLE; DEGENERATION/NECROSIS, PYLORUS, GLAND EPITHELIUM; DEGENERATION/NECROSIS, SEMINIFEROUS EPITHELIUM, FOCAL; DEGENERATION/NECROSIS, SEMINIFEROUS TUBULE; DEGENERATION/NECROSIS, SKELETAL MUSCLE; DEGENERATION/NECROSIS, SPERMATOCYTES/SPERMATIDS; DEGENERATION/NECROSIS, SUBCUTIS; DEGENERATION/NECROSIS, TRICEPS; DEGENERATION/NECROSIS, TUBULAR; DEGENERATION/NECROSIS, TUBULE; DEGENERATION/NECROSIS, TUBULE CELL; DEGENERATION/NECROSIS, TUBULE, MEDULLA/PAPILLA; DEGENERATION/NECROSIS, VASCULAR; DEGENERATION/NECROSIS, VASCULAR, MENINGES; DEGENERATION/NECROSIS, VESSEL; DEGENERATION/NECROSIS/INFILTRATE, MACROPHAGES, MYOCARDIUM; DEGENERATION/NECROSIS/INFILTRATE, MYOCARDIUM; DEGENERATION/NECROSIS/INFLAMMATION, CRYPT; DEGENERATION/NECROSIS-GASTRIC GLAND; DEGENERATION/REGENERATION/NECROSIS, EPITHELIUM; ENDOMETRIAL GLAND, DEGENERATION/NECROSIS; HAIR FOLLICLES, DEGENERATION/NECROSIS"
Non-Neoplastic Finding Type	DEGENERATION/REGENERATION	"DEGENERATION / REGENERATION; DEGENERATION, REGENERATION, MUSCLE; DEGENERATION/ REGENERATION; DEGENERATION/ REGENERATION, MUSCLE; DEGENERATION/ REGENERATION, MUSCLE, CUTANEOUS; DEGENERATION/REGENERATION, EPITHELIUM; DEGENERATION/REGENERATION, GLAND; DEGENERATION/REGENERATION, MUSCLE; DEGENERATION/REGENERATION, MUSCLE, FOCAL; DEGENERATION/REGENERATION, MUSCULARIS; DEGENERATION/REGENERATION, MYOCARDIUM; DEGENERATION/REGENERATION, MYOFIBER; DEGENERATION/REGENERATION, MYOFIBER, FOCAL; DEGENERATION/REGENERATION, SKELETAL MUSCLE; DEGENERATION/REGENERATION, TUBULE; DEGENERATION/REGENERATION, TUNICA MUSCULARIS; DEGENERATION/REGENERATION: MYOFIBER; MUSCLE, DEGENERATION/REGENERATION/INFLAMMATION; REGENERATION/DEGENERATION; REGENERATION/DEGENERATION, TUBULE, CORTEX"
Non-Neoplastic Finding Type	DEGENERATION/VACUOLATION	"DEGENERATION WITH VACUOLATION; DEGENERATION, VACUOLAR; DEGENERATION, VACUOLAR, EPITHELIUM; DEGENERATION, VACUOLAR, X-ZONE; DEGENERATION/VACUOLATION, EPITHELIUM; DEGENERATION/VACUOLATION, HEPATOCYTE; VACUOLATION/VACUOLAR DEGENERATION"
Non-Neoplastic Finding Type	DEGENERATIVE JOINT DISEASE	"ARTHRITIS/PERIARTHRITIS, CHRONIC; ARTHRITIS/TENOSYNOVITIS"
Non-Neoplastic Finding Type	"DETACHMENT, RETINA"	DETACHMENT
