Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C124477	C89961		Body Weight Test Name	Gravid Uterus Adjusted Body Weight	Gravid Uterus Adjusted Body Weight	The maternal body weight adjusted for the weight of the gravid uterus. This is derived by subtracting the gravid uterus weight from the total maternal body weight.	Gravid Uterus Adjusted Maternal Body Weight
C90464	C89961		Body Weight Test Name	Terminal Body Weight	Terminal Body Weight	The weight of a subject at a specified end point. (NCI)	Terminal Body Weight
C89963		Yes	Category for Clinical Observation	CLCAT	Category for Clinical Observation	Terminology related to classifications that describe and group clinical observations.	CDISC SEND Category for Clinical Observation Terminology
C166103	C89963		Category for Clinical Observation	CAGE OBSERVATION		An observation made on the contents of the housing environment (e.g., presence of blood, fecal abnormality), excluding observations made on the animal(s).	Cage Observation
C100104	C89963		Category for Clinical Observation	CLINICAL SIGNS	Clinical Signs	Objective evidence of disease perceptible to the examiner (sign) and subjective evidence of disease perceived by the subject (symptom).	Sign or Symptom
C25478	C89963		Category for Clinical Observation	DERMAL	Dermal	Of or relating to or located in the dermis. When used in the context of clinical observations, dermal may also include findings related to other components of the skin.	Dermal
C16939	C89963		Category for Clinical Observation	OPHTHALMOLOGY	Ophthalmology	A medical specialty concerned with the structure and function of the eye and the medical and surgical treatment of its defects and diseases. (NCI)	Ophthalmology
C20989	C89963		Category for Clinical Observation	PHYSICAL EXAM	Physical Exam	A systemic evaluation of the body and its functions using visual inspection, palpation, percussion and auscultation.	Physical Examination
C129003	C89963		Category for Clinical Observation	QUALITATIVE FOOD CONSUMPTION		A qualitative or semi-quantitative measurement of a subject's nutritional intake.	Qualitative Food Consumption
C177911		Yes	CDISC Define-XML Specification Version	DFXMLVER	CDISC Define-XML Specification Version	Terminology related to the version of the Define-XML specification that is in use for the study.	CDISC Define-XML Specification Version Terminology
C178063	C177911		CDISC Define-XML Specification Version	DEFINE-XML 1.0		The 1.0 version of the Clinical Data Interchange specifications Consortium (CDISC) Define-XML specification.	CDISC Define-XML Version 1.0
C178062	C177911		CDISC Define-XML Specification Version	DEFINE-XML 2.0		The 2.0 version of the Clinical Data Interchange specifications Consortium (CDISC) Define-XML specification.	CDISC Define-XML Version 2.0
C178061	C177911		CDISC Define-XML Specification Version	DEFINE-XML 2.1		The 2.1 version of the Clinical Data Interchange Standards Consortium (CDISC) Define-XML specification.	CDISC Define-XML Version 2.1
C158120		Yes	Challenge Agent Category Response	CAGTCAT	Challenge Agent Category Response	Terminology related to classifications that describe and group the challenge agent.	CDISC SEND Challenge Agent Category Response Terminology
C158325	C158120		Challenge Agent Category Response	BIOLOGICAL		A challenge agent comprising an organism or infectious agent.	Biological Challenge Agent
C158326	C158120		Challenge Agent Category Response	CHEMICAL		A challenge agent comprising a non-radioactive chemical or elemental substance; this category includes biotoxins.	Chemical Challenge Agent
C158327	C158120		Challenge Agent Category Response	RADIOLOGICAL/NUCLEAR	Rad/Nuc	A challenge agent that emits ionizing radiation.	Radiological/Nuclear Challenge Agent
C158116		Yes	Challenge Agent Parameter Code	ACPARMCD	Challenge Agent Parameter Code	Terminology related to the parameter codes of the challenge agent characteristics within a study.	CDISC SEND Challenge Agent Parameter Code Terminology
C158303	C158116		Challenge Agent Parameter Code	BABIOVRN	Biological Agent Biovar Name	Identifying biovar name of the biological challenge agent.	Biological Agent Biovar Name
C158308	C158116		Challenge Agent Parameter Code	BACAT	Biological Agent Category	A general classification of the biological challenge agent used in the study.	Biological Agent Type
C158307	C158116		Challenge Agent Parameter Code	BACOAIND	Biological Agent Certificate of Analysis Indicator; Biological Agent CoA Indicator	An indication as to whether a certificate of analysis exists for the biological challenge agent.	Biological Agent Certificate of Analysis Indicator
C158306	C158116		Challenge Agent Parameter Code	BAENGIND	Biological Agent Engineered Indicator	An indication as to whether the biological challenge agent is engineered rather than naturally occurring.	Biological Agent Engineered Indicator
C158309	C158116		Challenge Agent Parameter Code	BAGENSPC	Biological Agent Genus and Species	The genus and species of the biological challenge agent used in the study.	Biological Agent Genus and Species
C158310	C158116		Challenge Agent Parameter Code	BAMBSSDS	Bio Master Bank or Seed Stock Dir Supp; Bio Master Bank or Seed Stock Direct Supplier	The name of the direct supplier of the master bank or seed stock of organisms from which the biological challenge agent came.	Master Bank or Seed Stock Immediate Supplier
C158311	C158116		Challenge Agent Parameter Code	BAMTIDCD	Biological Agent Material Ident Code	The unique identifier code assigned by the manufacturer or distributor to a specific quantity of biological challenge agent. This may include batch number, lot number, spore lot number, batch/lot number, etc.	Material Identification Code
C158312	C158116		Challenge Agent Parameter Code	BANSIND	Biological Agent Nucleotide Sequence Ind; Biological Agent Nucleotide Sequence Indicator	An indication as to whether the genetic sequence of the biological challenge agent has been determined.	Biological Agent Nucleotide Sequence Indicator
C158313	C158116		Challenge Agent Parameter Code	BANSLOC	Biological Agent Nucleotide Sequence Loc; Biological Agent Nucleotide Sequence Location	The reference, citation, or database location of the nucleotide sequence for the biological challenge agent.	Biological Agent Nucleotide Sequence Location
C158304	C158116		Challenge Agent Parameter Code	BASEROVN	Biological Agent Serovar Name	Identifying serovar name of the biological challenge agent.	Biological Agent Serovar Name
C158305	C158116		Challenge Agent Parameter Code	BASTRNN	Biological Agent Strain Name	Identifying strain name of the biological challenge agent.	Biological Agent Strain Name
C161499	C158116		Challenge Agent Parameter Code	BIRRMDL	Body Irradiation Model	A description of the area or extent of the body that is exposed to radiation, which may include information about the body part that is irradiated and procedures that may be done in conjunction with the radiation.	Body Irradiation Model
C158314	C158116		Challenge Agent Parameter Code	BWBPSIND	Bio Ag Work Bank/Primary Stock Char Ind; Biological Working Bank or Primary Stock Characterized Indicator	An indication as to whether the primary molecular and biological characteristics of the working bank or primary stock were confirmed.	Working Bank or Primary Stock Characterized Indicator
C158298	C158116		Challenge Agent Parameter Code	CAGTCAT	Challenge Agent Category	A general classification of the challenge agent used in the study.	Challenge Agent Category
C158302	C158116		Challenge Agent Parameter Code	CAGTSUPA	Challenge Agent Supplier Address	The geographic location of the person, company, organization, or institution that supplied the challenge agent used in the study.	Challenge Agent Supplier Address
C158301	C158116		Challenge Agent Parameter Code	CAGTSUPN	Challenge Agent Supplier Name	The name of the person, company, organization, or institution that supplied the challenge agent used in the study.	Challenge Agent Supplier Name
C158316	C158116		Challenge Agent Parameter Code	CHAGCAS	Chemical Agent CAS Number	The unique numerical identifier assigned by the Chemical Abstract Service (CAS), a division of the American Chemical Society, to the chemical challenge agent used in the study.	Chemical Agent CAS Number
C158315	C158116		Challenge Agent Parameter Code	CHAGNAM	Chemical Agent Name	The name of the chemical challenge agent used in the study.	Chemical Challenge Agent Name
C158317	C158116		Challenge Agent Parameter Code	CHAMCIND	Chemical Ag Metabolite Causes Injury Ind; Chemical Agent Metabolite Causes Injury Indicator	An indication as to whether a metabolite of the chemical challenge agent is known to cause or contribute to the injury or condition of interest.	Challenge Agent Metabolite Caused Injury Indicator
C161503	C158116		Challenge Agent Parameter Code	CHCOAIND	Chemical Agent CoA Indicator	An indication as to whether a certificate of analysis exists for the chemical challenge agent.	Chemical Agent Certificate of Analysis Indicator
C161504	C158116		Challenge Agent Parameter Code	CHMTIDCD	Chemical Agent Material Ident Code; Chemical Agent Material Identification Code	The unique identifier code assigned by the manufacturer or distributor to a specific quantity of chemical challenge agent. This may include batch number, lot number, batch/lot number, etc.	Chemical Agent Material Identification Code
C163571	C158116		Challenge Agent Parameter Code	CIRNRIND	Combined Injury (Rad and Non-Rad) Ind; Combined Injury (Radiation and Non-Radiation) Indicator	An indication as to whether the radiation injury is combined with infectious, physical, thermal, and/or chemical trauma.	Radiation Combined Injury Indicator
C161502	C158116		Challenge Agent Parameter Code	EORNINJR	Exp Onset of Rad/Nuc Targeted Injury; Expected Onset of Rad/Nuc Targeted Injury	The relative timing of the expected onset of the targeted injury, with respect to radiation exposure.	Expected Onset of Rad/Nuc Targeted Injury
C163572	C158116		Challenge Agent Parameter Code	IRORSEQ	Irradiation Field Orientation/Sequence	A description of the irradiation field as it pertains to orientation to the body and, when appropriate, the sequencing of exposure(s).	Irradiation Field Orientation Sequence
C158299	C158116		Challenge Agent Parameter Code	MCCATIND	Multiple Challenge Agent Category Ind; Multiple Challenge Agent Category Indicator	An indication as to whether the animal was challenged with agents from more than one challenge agent category.	Multiple Challenge Agent Different Category Indicator
C158300	C158116		Challenge Agent Parameter Code	MCSCTIND	Multiple Challenge Agent Same Cat Ind; Multiple Challenge Agent Same Category Indicator	An indication as to whether the animal was challenged with more than one agent from a single challenge agent category.	Multiple Challenge Agent Same Category Indicator
C161500	C158116		Challenge Agent Parameter Code	PCTBMNIR	Percent Bone Marrow Not Irradiated	The proportion of bone marrow that is not irradiated, i.e., shielded or removed from field.	Percent Bone Marrow Shielded
C158319	C158116		Challenge Agent Parameter Code	RNAIOTYP	Rad/Nuc Agent Ionizing Radiation Type	The form of ionizing radiation that is emitted by the rad/nuc agent source.	Radiological/Nuclear Agent Ionizing Radiation Type
C158320	C158116		Challenge Agent Parameter Code	RNAISBS	Rad/Nuc Agent Irrad Source Beam Strength; Rad/Nuc Agent Irradiation Source Beam Strength	The energy of the irradiation beam produced by the source.	Radiological/Nuclear Agent Irradiation Source Beam Strength
C158321	C158116		Challenge Agent Parameter Code	RNAMFIND	Rad/Nuc Agent Mixed Field Indicator	An indication as to whether there is more than one type of ionizing radiation associated with the rad/nuc challenge.	Challenge Agent Type Mixed Field Indicator
C158322	C158116		Challenge Agent Parameter Code	RNARADSN	Rad/Nuc Agent Radioisotope Species Name	The literal identifier of the radioisotope, specified as the symbol of the chemical element followed by the mass number.	Radioisotope Species Name
C158318	C158116		Challenge Agent Parameter Code	RNASRC	Rad/Nuc Agent Source	The mode by which the radiological or nuclear challenge agent is delivered to the subject.	Radiological/Nuclear Challenge Agent Source Type
C161501	C158116		Challenge Agent Parameter Code	RNTINJRM	Rad/Nuc Targeted Injury Model	The type of radiation injury that is being induced in the animal.	Rad/Nuc Targeted Injury Model
C158117		Yes	Challenge Agent Parameter Long Name	ACPARM	Challenge Agent Parameter Long Name	Terminology related to the parameter names of the challenge agent characteristics within a study.	CDISC SEND Challenge Agent Parameter Long Name Terminology
C158310	C158117		Challenge Agent Parameter Long Name	Bio Ag Master Bank/Seed Stock Dir Supp	Bio Master Bank or Seed Stock Dir Supp; Bio Master Bank or Seed Stock Direct Supplier	The name of the direct supplier of the master bank or seed stock of organisms from which the biological challenge agent came.	Master Bank or Seed Stock Immediate Supplier
C158314	C158117		Challenge Agent Parameter Long Name	Bio Ag Work Bank/Primary Stock Char Ind	Bio Ag Work Bank/Primary Stock Char Ind; Biological Working Bank or Primary Stock Characterized Indicator	An indication as to whether the primary molecular and biological characteristics of the working bank or primary stock were confirmed.	Working Bank or Primary Stock Characterized Indicator
C158303	C158117		Challenge Agent Parameter Long Name	Biological Agent Biovar Name	Biological Agent Biovar Name	Identifying biovar name of the biological challenge agent.	Biological Agent Biovar Name
C158308	C158117		Challenge Agent Parameter Long Name	Biological Agent Category	Biological Agent Category	A general classification of the biological challenge agent used in the study.	Biological Agent Type
C158307	C158117		Challenge Agent Parameter Long Name	Biological Agent CoA Indicator	Biological Agent Certificate of Analysis Indicator; Biological Agent CoA Indicator	An indication as to whether a certificate of analysis exists for the biological challenge agent.	Biological Agent Certificate of Analysis Indicator
C158306	C158117		Challenge Agent Parameter Long Name	Biological Agent Engineered Indicator	Biological Agent Engineered Indicator	An indication as to whether the biological challenge agent is engineered rather than naturally occurring.	Biological Agent Engineered Indicator
C158309	C158117		Challenge Agent Parameter Long Name	Biological Agent Genus and Species	Biological Agent Genus and Species	The genus and species of the biological challenge agent used in the study.	Biological Agent Genus and Species
C158311	C158117		Challenge Agent Parameter Long Name	Biological Agent Material Ident Code	Biological Agent Material Ident Code	The unique identifier code assigned by the manufacturer or distributor to a specific quantity of biological challenge agent. This may include batch number, lot number, spore lot number, batch/lot number, etc.	Material Identification Code
C158312	C158117		Challenge Agent Parameter Long Name	Biological Agent Nucleotide Sequence Ind	Biological Agent Nucleotide Sequence Ind; Biological Agent Nucleotide Sequence Indicator	An indication as to whether the genetic sequence of the biological challenge agent has been determined.	Biological Agent Nucleotide Sequence Indicator
C158313	C158117		Challenge Agent Parameter Long Name	Biological Agent Nucleotide Sequence Loc	Biological Agent Nucleotide Sequence Loc; Biological Agent Nucleotide Sequence Location	The reference, citation, or database location of the nucleotide sequence for the biological challenge agent.	Biological Agent Nucleotide Sequence Location
C158304	C158117		Challenge Agent Parameter Long Name	Biological Agent Serovar Name	Biological Agent Serovar Name	Identifying serovar name of the biological challenge agent.	Biological Agent Serovar Name
C158305	C158117		Challenge Agent Parameter Long Name	Biological Agent Strain Name	Biological Agent Strain Name	Identifying strain name of the biological challenge agent.	Biological Agent Strain Name
C161499	C158117		Challenge Agent Parameter Long Name	Body Irradiation Model	Body Irradiation Model	A description of the area or extent of the body that is exposed to radiation, which may include information about the body part that is irradiated and procedures that may be done in conjunction with the radiation.	Body Irradiation Model
C158298	C158117		Challenge Agent Parameter Long Name	Challenge Agent Category	Challenge Agent Category	A general classification of the challenge agent used in the study.	Challenge Agent Category
C158302	C158117		Challenge Agent Parameter Long Name	Challenge Agent Supplier Address	Challenge Agent Supplier Address	The geographic location of the person, company, organization, or institution that supplied the challenge agent used in the study.	Challenge Agent Supplier Address
C158301	C158117		Challenge Agent Parameter Long Name	Challenge Agent Supplier Name	Challenge Agent Supplier Name	The name of the person, company, organization, or institution that supplied the challenge agent used in the study.	Challenge Agent Supplier Name
C158317	C158117		Challenge Agent Parameter Long Name	Chemical Ag Metabolite Causes Injury Ind	Chemical Ag Metabolite Causes Injury Ind; Chemical Agent Metabolite Causes Injury Indicator	An indication as to whether a metabolite of the chemical challenge agent is known to cause or contribute to the injury or condition of interest.	Challenge Agent Metabolite Caused Injury Indicator
C158316	C158117		Challenge Agent Parameter Long Name	Chemical Agent CAS Number	Chemical Agent CAS Number	The unique numerical identifier assigned by the Chemical Abstract Service (CAS), a division of the American Chemical Society, to the chemical challenge agent used in the study.	Chemical Agent CAS Number
C161503	C158117		Challenge Agent Parameter Long Name	Chemical Agent CoA Indicator	Chemical Agent CoA Indicator	An indication as to whether a certificate of analysis exists for the chemical challenge agent.	Chemical Agent Certificate of Analysis Indicator
C161504	C158117		Challenge Agent Parameter Long Name	Chemical Agent Material Ident Code	Chemical Agent Material Ident Code; Chemical Agent Material Identification Code	The unique identifier code assigned by the manufacturer or distributor to a specific quantity of chemical challenge agent. This may include batch number, lot number, batch/lot number, etc.	Chemical Agent Material Identification Code
C158315	C158117		Challenge Agent Parameter Long Name	Chemical Agent Name	Chemical Agent Name	The name of the chemical challenge agent used in the study.	Chemical Challenge Agent Name
C163571	C158117		Challenge Agent Parameter Long Name	Combined Injury (Rad and Non-Rad) Ind	Combined Injury (Rad and Non-Rad) Ind; Combined Injury (Radiation and Non-Radiation) Indicator	An indication as to whether the radiation injury is combined with infectious, physical, thermal, and/or chemical trauma.	Radiation Combined Injury Indicator
C161502	C158117		Challenge Agent Parameter Long Name	Exp Onset of Rad/Nuc Targeted Injury	Exp Onset of Rad/Nuc Targeted Injury; Expected Onset of Rad/Nuc Targeted Injury	The relative timing of the expected onset of the targeted injury, with respect to radiation exposure.	Expected Onset of Rad/Nuc Targeted Injury
C163572	C158117		Challenge Agent Parameter Long Name	Irradiation Field Orientation/Sequence	Irradiation Field Orientation/Sequence	A description of the irradiation field as it pertains to orientation to the body and, when appropriate, the sequencing of exposure(s).	Irradiation Field Orientation Sequence
C158299	C158117		Challenge Agent Parameter Long Name	Multiple Challenge Agent Category Ind	Multiple Challenge Agent Category Ind; Multiple Challenge Agent Category Indicator	An indication as to whether the animal was challenged with agents from more than one challenge agent category.	Multiple Challenge Agent Different Category Indicator
C158300	C158117		Challenge Agent Parameter Long Name	Multiple Challenge Agent Same Cat Ind	Multiple Challenge Agent Same Cat Ind; Multiple Challenge Agent Same Category Indicator	An indication as to whether the animal was challenged with more than one agent from a single challenge agent category.	Multiple Challenge Agent Same Category Indicator
C161500	C158117		Challenge Agent Parameter Long Name	Percent Bone Marrow Not Irradiated	Percent Bone Marrow Not Irradiated	The proportion of bone marrow that is not irradiated, i.e., shielded or removed from field.	Percent Bone Marrow Shielded
C158319	C158117		Challenge Agent Parameter Long Name	Rad/Nuc Agent Ionizing Radiation Type	Rad/Nuc Agent Ionizing Radiation Type	The form of ionizing radiation that is emitted by the rad/nuc agent source.	Radiological/Nuclear Agent Ionizing Radiation Type
C158320	C158117		Challenge Agent Parameter Long Name	Rad/Nuc Agent Irrad Source Beam Strength	Rad/Nuc Agent Irrad Source Beam Strength; Rad/Nuc Agent Irradiation Source Beam Strength	The energy of the irradiation beam produced by the source.	Radiological/Nuclear Agent Irradiation Source Beam Strength
C158321	C158117		Challenge Agent Parameter Long Name	Rad/Nuc Agent Mixed Field Indicator	Rad/Nuc Agent Mixed Field Indicator	An indication as to whether there is more than one type of ionizing radiation associated with the rad/nuc challenge.	Challenge Agent Type Mixed Field Indicator
C158322	C158117		Challenge Agent Parameter Long Name	Rad/Nuc Agent Radioisotope Species Name	Rad/Nuc Agent Radioisotope Species Name	The literal identifier of the radioisotope, specified as the symbol of the chemical element followed by the mass number.	Radioisotope Species Name
C158318	C158117		Challenge Agent Parameter Long Name	Rad/Nuc Agent Source	Rad/Nuc Agent Source	The mode by which the radiological or nuclear challenge agent is delivered to the subject.	Radiological/Nuclear Challenge Agent Source Type
C161501	C158117		Challenge Agent Parameter Long Name	Rad/Nuc Targeted Injury Model	Rad/Nuc Targeted Injury Model	The type of radiation injury that is being induced in the animal.	Rad/Nuc Targeted Injury Model
C160930		Yes	Chemical Challenge Agent Name Response	CHAGNAMR	Chemical Challenge Agent Name Response	Terminology related to the names of chemical challenge agents.	CDISC SEND Chemical Challenge Agent Name Response Terminology
C163573	C160930		Chemical Challenge Agent Name Response	A-230	A230	The fourth-generation (also known as Novichok or A series) nerve agent A-230.	A-230
C163574	C160930		Chemical Challenge Agent Name Response	A-232	A232	The fourth-generation (also known as Novichok or A series) nerve agent A-232.	A-232
C163575	C160930		Chemical Challenge Agent Name Response	A-234	A234	The fourth-generation (also known as Novichok or A series) nerve agent A-234.	A-234
C163576	C160930		Chemical Challenge Agent Name Response	ABRIN		The biotoxin abrin.	Abrin
C163577	C160930		Chemical Challenge Agent Name Response	ACEPHATE		The organophosphorus agent acephate.	Acephate
C163578	C160930		Chemical Challenge Agent Name Response	ALDICARB		The carbamate agent aldicarb.	Aldicarb
C163579	C160930		Chemical Challenge Agent Name Response	ALPHA-CONOTOXIN AC1.1A	Alpha-Ac1.1a	The biotoxin alpha-conotoxin Ac1.1a.	Alpha-Conotoxin Ac1.1A
C163580	C160930		Chemical Challenge Agent Name Response	ALPHA-CONOTOXIN CNIA	Alpha-CnIA	The biotoxin alpha-conotoxin CnIA.	Alpha-Conotoxin CnIA
C163581	C160930		Chemical Challenge Agent Name Response	ALPHA-CONOTOXIN CNIB	Alpha-CnIB	The biotoxin alpha-conotoxin CnIB.	Alpha-Conotoxin CnIB
C163582	C160930		Chemical Challenge Agent Name Response	ALPHA-CONOTOXIN GI	Alpha-GI	The biotoxin alpha-conotoxin GI.	Alpha-Conotoxin GI
C163583	C160930		Chemical Challenge Agent Name Response	ALPHA-CONOTOXIN GIA	Alpha-GIA	The biotoxin alpha-conotoxin GIA.	Alpha-Conotoxin GIA
C163584	C160930		Chemical Challenge Agent Name Response	ALPHA-CONOTOXIN MI	Alpha-MI	The biotoxin alpha-conotoxin MI.	Alpha-Conotoxin MI
C163585	C160930		Chemical Challenge Agent Name Response	AMINOCARB		The carbamate agent aminocarb.	Aminocarb
C76698	C160930		Chemical Challenge Agent Name Response	AMMONIA		The chemical agent ammonia.	Ammonia
C28131	C160930		Chemical Challenge Agent Name Response	ARSENIC		The metal agent arsenic.	Arsenic
C163586	C160930		Chemical Challenge Agent Name Response	ARSINE		The chemical agent arsine.	Arsine
C73323	C160930		Chemical Challenge Agent Name Response	AZAMETHIPHOS		The organophosphorus agent azamethiphos.	Azamethiphos
C163587	C160930		Chemical Challenge Agent Name Response	AZINPHOS-ETHYL		The organophosphorus agent azinphos-ethyl.	Azinphos-Ethyl
C163588	C160930		Chemical Challenge Agent Name Response	AZINPHOS-METHYL		The organophosphorus agent azinphos-methyl.	Azinphos-Methyl
C61475	C160930		Chemical Challenge Agent Name Response	BARIUM		The metal agent barium.	Barium
C163589	C160930		Chemical Challenge Agent Name Response	BENDIOCARB		The carbamate agent bendiocarb.	Bendiocarb
C163590	C160930		Chemical Challenge Agent Name Response	BENFURACARB		The carbamate agent benfuracarb.	Benfuracarb
C163591	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN A1	BoNT/A1; Clostridium botulinum Toxin A1	The biotoxin botulinum neurotoxin A1.	Botulinum Toxin Type A1
C163592	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN A2	BoNT/A2; Clostridium botulinum Toxin A2	The biotoxin botulinum neurotoxin A2.	Botulinum Toxin Type A2
C163593	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN A3	BoNT/A3; Clostridium botulinum Toxin A3	The biotoxin botulinum neurotoxin A3.	Botulinum Toxin Type A3
C163594	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN A4	BoNT/A4; Clostridium botulinum Toxin A4	The biotoxin botulinum neurotoxin A4.	Botulinum Toxin Type A4
C163595	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN A5	BoNT/A5; Clostridium botulinum Toxin A5	The biotoxin botulinum neurotoxin A5.	Botulinum Toxin Type A5
C163596	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN A6	BoNT/A6; Clostridium botulinum Toxin A6	The biotoxin botulinum neurotoxin A6.	Botulinum Toxin Type A6
C163597	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN A7	BoNT/A7; Clostridium botulinum Toxin A7	The biotoxin botulinum neurotoxin A7.	Botulinum Toxin Type A7
C163598	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN A8	BoNT/A8; Clostridium botulinum Toxin A8	The biotoxin botulinum neurotoxin A8.	Botulinum Toxin Type A8
C163599	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN B1	BoNT/B1; Clostridium botulinum Toxin B1	The biotoxin botulinum neurotoxin B1.	Botulinum Toxin Type B1
C163600	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN B2	BoNT/B2; Clostridium botulinum Toxin B2	The biotoxin botulinum neurotoxin B2.	Botulinum Toxin Type B2
C163601	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN B3	BoNT/B3; Clostridium botulinum Toxin B3	The biotoxin botulinum neurotoxin B3.	Botulinum Toxin Type B3
C163602	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN B4	BoNT/B4; Clostridium botulinum Toxin B4	The biotoxin botulinum neurotoxin B4.	Botulinum Toxin Type B4
C163603	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN B5	BoNT/B5; Clostridium botulinum Toxin B5	The biotoxin botulinum neurotoxin B5.	Botulinum Toxin Type B5
C163604	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN B6	BoNT/B6; Clostridium botulinum Toxin B6	The biotoxin botulinum neurotoxin B6.	Botulinum Toxin Type B6
C163605	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN B7	BoNT/B7; Clostridium botulinum Toxin B7	The biotoxin botulinum neurotoxin B7.	Botulinum Toxin Type B7
C163606	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN B8	BoNT/B8; Clostridium botulinum Toxin B8	The biotoxin botulinum neurotoxin B8.	Botulinum Toxin Type B8
C163607	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN C1	BoNT/C1; Clostridium botulinum Toxin C1	The biotoxin botulinum neurotoxin C1.	Botulinum Toxin Type C1
C163608	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN CD	BoNT/CD; Clostridium botulinum Toxin CD	The biotoxin botulinum neurotoxin CD.	Botulinum Toxin Type Cd
C163035	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN D	BoNT/D; Clostridium botulinum Toxin D	The biotoxin botulinum neurotoxin D.	Botulinum Toxin Type D
C163609	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN DC	BoNT/DC; Clostridium botulinum Toxin DC	The biotoxin botulinum neurotoxin DC.	Botulinum Toxin Type Dc
C163610	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E1	BoNT/E1; Clostridium botulinum Toxin E1	The biotoxin botulinum neurotoxin E1.	Botulinum Toxin Type E1
C163611	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E10	BoNT/E10; Clostridium botulinum Toxin E10	The biotoxin botulinum neurotoxin E10.	Botulinum Toxin Type E10
C163612	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E11	BoNT/E11; Clostridium botulinum Toxin E11	The biotoxin botulinum neurotoxin E11.	Botulinum Toxin Type E11
C163613	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E12	BoNT/E12; Clostridium botulinum Toxin E12	The biotoxin botulinum neurotoxin E12.	Botulinum Toxin Type E12
C163614	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E2	BoNT/E2; Clostridium botulinum Toxin E2	The biotoxin botulinum neurotoxin E2.	Botulinum Toxin Type E2
C163615	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E3	BoNT/E3; Clostridium botulinum Toxin E3	The biotoxin botulinum neurotoxin E3.	Botulinum Toxin Type E3
C163616	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E4	BoNT/E4; Clostridium botulinum Toxin E4	The biotoxin botulinum neurotoxin E4.	Botulinum Toxin Type E4
C163617	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E5	BoNT/E5; Clostridium botulinum Toxin E5	The biotoxin botulinum neurotoxin E5.	Botulinum Toxin Type E5
C163618	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E6	BoNT/E6; Clostridium botulinum Toxin E6	The biotoxin botulinum neurotoxin E6.	Botulinum Toxin Type E6
C163619	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E7	BoNT/E7; Clostridium botulinum Toxin E7	The biotoxin botulinum neurotoxin E7.	Botulinum Toxin Type E7
C163620	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E8	BoNT/E8; Clostridium botulinum Toxin E8	The biotoxin botulinum neurotoxin E8.	Botulinum Toxin Type E8
C163621	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN E9	BoNT/E9; Clostridium botulinum Toxin E9	The biotoxin botulinum neurotoxin E9.	Botulinum Toxin Type E9
C163622	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN F1	BoNT/F1; Clostridium botulinum Toxin F1	The biotoxin botulinum neurotoxin F1.	Botulinum Toxin Type F1
C163623	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN F2	BoNT/F2; Clostridium botulinum Toxin F2	The biotoxin botulinum neurotoxin F2.	Botulinum Toxin Type F2
C163624	C160930		Chemical Challenge Agent Name Response	BOTULINUM NEUROTOXIN F3	BoNT/F3; Clostridium botulinum Toxin F3	The biotoxin botulinum neurotoxin F3.	Botulinum Toxin Type F3
